,Name,image,url
19,Ramsay MacDonald,//upload.wikimedia.org/wikipedia/commons/thumb/4/40/Ramsay_MacDonald_ggbain_35734.jpg/220px-Ramsay_MacDonald_ggbain_35734.jpg,https://en.wikipedia.org/wiki/Ramsay_MacDonald
20,Lord North,//upload.wikimedia.org/wikipedia/commons/thumb/f/f0/Nathaniel_Dance_Lord_North.jpg/245px-Nathaniel_Dance_Lord_North.jpg,"https://en.wikipedia.org/wiki/Frederick_North,_Lord_North"
21,The Lord Grenville,//upload.wikimedia.org/wikipedia/commons/thumb/4/4e/1st_Baron_Grenville.jpg/245px-1st_Baron_Grenville.jpg,"https://en.wikipedia.org/wiki/William_Grenville,_1st_Baron_Grenville"
22,Clement Attlee,//upload.wikimedia.org/wikipedia/commons/thumb/6/66/Clement_Attlee.png/220px-Clement_Attlee.png,https://en.wikipedia.org/wiki/Clement_Attlee
23,The Viscount Melbourne,//upload.wikimedia.org/wikipedia/commons/thumb/6/64/William_Lamb%2C_2nd_Viscount_Melbourne_by_Sir_Edwin_Henry_Landseer.jpg/220px-William_Lamb%2C_2nd_Viscount_Melbourne_by_Sir_Edwin_Henry_Landseer.jpg,"https://en.wikipedia.org/wiki/William_Lamb,_2nd_Viscount_Melbourne"
24,The Marquess of Rockingham,//upload.wikimedia.org/wikipedia/commons/thumb/b/b4/2nd_Marquess_of_Rockingham.jpg/245px-2nd_Marquess_of_Rockingham.jpg,"https://en.wikipedia.org/wiki/Charles_Watson-Wentworth,_2nd_Marquess_of_Rockingham"
25,The Duke of Wellington,//upload.wikimedia.org/wikipedia/commons/thumb/8/83/Sir_Arthur_Wellesley%2C_1st_Duke_of_Wellington.png/220px-Sir_Arthur_Wellesley%2C_1st_Duke_of_Wellington.png,"https://en.wikipedia.org/wiki/Arthur_Wellesley,_1st_Duke_of_Wellington"
26,Sir Robert Peel,//upload.wikimedia.org/wikipedia/commons/thumb/a/a1/Sir_Robert_Peel%2C_2nd_Bt_by_Henry_William_Pickersgill-detail.jpg/220px-Sir_Robert_Peel%2C_2nd_Bt_by_Henry_William_Pickersgill-detail.jpg,https://en.wikipedia.org/wiki/Robert_Peel
27,George Grenville,//upload.wikimedia.org/wikipedia/commons/thumb/3/32/George_Grenville_%281712%E2%80%931770%29_by_William_Hoare_%281707-1792%29.jpg/220px-George_Grenville_%281712%E2%80%931770%29_by_William_Hoare_%281707-1792%29.jpg,https://en.wikipedia.org/wiki/George_Grenville
28,Henry Addington,//upload.wikimedia.org/wikipedia/commons/thumb/2/2e/Henry_Addington_by_Beechey.jpg/245px-Henry_Addington_by_Beechey.jpg,https://en.wikipedia.org/wiki/Henry_Addington
29,The Earl of Derby,//upload.wikimedia.org/wikipedia/commons/thumb/7/74/Edward_Smith-Stanley%2C_14th_Earl_of_Derby-1865.jpg/245px-Edward_Smith-Stanley%2C_14th_Earl_of_Derby-1865.jpg,"https://en.wikipedia.org/wiki/Edward_Smith-Stanley,_14th_Earl_of_Derby"
30,The Viscount Palmerston,//upload.wikimedia.org/wikipedia/commons/thumb/b/b1/Henry_John_Temple%2C_3rd_Viscount_Palmerston.jpg/245px-Henry_John_Temple%2C_3rd_Viscount_Palmerston.jpg,"https://en.wikipedia.org/wiki/Henry_Temple,_3rd_Viscount_Palmerston"
31,Henry Pelham,//upload.wikimedia.org/wikipedia/commons/thumb/0/08/Henry_Pelham%2C_Parliamentary_Art_Collection.jpg/220px-Henry_Pelham%2C_Parliamentary_Art_Collection.jpg,https://en.wikipedia.org/wiki/Henry_Pelham
32,The Duke of Newcastle,//upload.wikimedia.org/wikipedia/commons/thumb/f/f9/1stDukeOfNewcastleOld.jpg/245px-1stDukeOfNewcastleOld.jpg,"https://en.wikipedia.org/wiki/Thomas_Pelham-Holles,_1st_Duke_of_Newcastle-upon-Tyne"
33,Harold Wilson,//upload.wikimedia.org/wikipedia/commons/thumb/f/fc/Padlock-silver.svg/20px-Padlock-silver.svg.png,https://en.wikipedia.org/wiki/Harold_Wilson
34,Spencer Perceval,//upload.wikimedia.org/wikipedia/commons/thumb/e/e5/Spencer_Perceval.jpg/245px-Spencer_Perceval.jpg,https://en.wikipedia.org/wiki/Spencer_Perceval
35,The Earl of Liverpool,//upload.wikimedia.org/wikipedia/commons/thumb/4/41/Lord_Liverpool.jpg/220px-Lord_Liverpool.jpg,"https://en.wikipedia.org/wiki/Robert_Jenkinson,_2nd_Earl_of_Liverpool"
36,The Duke of Devonshire,//upload.wikimedia.org/wikipedia/commons/thumb/2/2e/4th_Duke_of_Devonshire_after_Hudson.jpg/220px-4th_Duke_of_Devonshire_after_Hudson.jpg,"https://en.wikipedia.org/wiki/William_Cavendish,_4th_Duke_of_Devonshire"
37,David Cameron,//upload.wikimedia.org/wikipedia/commons/thumb/f/fc/Padlock-silver.svg/20px-Padlock-silver.svg.png,https://en.wikipedia.org/wiki/David_Cameron
38,Benjamin Disraeli,//upload.wikimedia.org/wikipedia/en/thumb/e/e7/Cscr-featured.svg/20px-Cscr-featured.svg.png,https://en.wikipedia.org/wiki/Benjamin_Disraeli
39,James Callaghan,//upload.wikimedia.org/wikipedia/commons/thumb/d/d0/James_Callaghan.JPG/220px-James_Callaghan.JPG,https://en.wikipedia.org/wiki/James_Callaghan
40,The Earl of Rosebery,//upload.wikimedia.org/wikipedia/en/thumb/2/2d/Archibald_Primrose%2C_5th_Earl_of_Rosebery_-_1890s.jpg/220px-Archibald_Primrose%2C_5th_Earl_of_Rosebery_-_1890s.jpg,"https://en.wikipedia.org/wiki/Archibald_Primrose,_5th_Earl_of_Rosebery"
41,David Lloyd George,//upload.wikimedia.org/wikipedia/commons/thumb/e/e8/David_Lloyd_George.jpg/220px-David_Lloyd_George.jpg,https://en.wikipedia.org/wiki/David_Lloyd_George
42,The Earl Grey,//upload.wikimedia.org/wikipedia/commons/thumb/4/47/Charles_Grey%2C_2nd_Earl_Grey_by_Sir_Thomas_Lawrence_copy.jpg/245px-Charles_Grey%2C_2nd_Earl_Grey_by_Sir_Thomas_Lawrence_copy.jpg,"https://en.wikipedia.org/wiki/Charles_Grey,_2nd_Earl_Grey"
43,Henry Campbell-Bannerman,//upload.wikimedia.org/wikipedia/commons/thumb/5/5d/Picture_of_Henry_Campbell-Bannerman.jpg/220px-Picture_of_Henry_Campbell-Bannerman.jpg,https://en.wikipedia.org/wiki/Henry_Campbell-Bannerman
44,The Earl of Chatham,//upload.wikimedia.org/wikipedia/commons/thumb/0/06/William_Pitt%2C_1st_Earl_of_Chatham_by_Richard_Brompton.jpg/250px-William_Pitt%2C_1st_Earl_of_Chatham_by_Richard_Brompton.jpg,"https://en.wikipedia.org/wiki/William_Pitt,_1st_Earl_of_Chatham"
45,Sir Robert Walpole,//upload.wikimedia.org/wikipedia/commons/thumb/e/ec/Robert_Walpole%2C_1st_Earl_of_Orford_by_Arthur_Pond.jpg/220px-Robert_Walpole%2C_1st_Earl_of_Orford_by_Arthur_Pond.jpg,https://en.wikipedia.org/wiki/Robert_Walpole
46,The Duke of Grafton,//upload.wikimedia.org/wikipedia/commons/thumb/7/72/Grafton3.JPG/245px-Grafton3.JPG,"https://en.wikipedia.org/wiki/Augustus_FitzRoy,_3rd_Duke_of_Grafton"
47,The Duke of Portland,//upload.wikimedia.org/wikipedia/commons/thumb/d/d2/3rd_Duke_of_Portland_1804.jpg/245px-3rd_Duke_of_Portland_1804.jpg,"https://en.wikipedia.org/wiki/William_Cavendish-Bentinck,_3rd_Duke_of_Portland"
48,George Canning,//upload.wikimedia.org/wikipedia/commons/thumb/d/df/George_Canning_by_Richard_Evans_-_detail.jpg/245px-George_Canning_by_Richard_Evans_-_detail.jpg,https://en.wikipedia.org/wiki/George_Canning
49,The Earl of Shelburne,//upload.wikimedia.org/wikipedia/commons/thumb/3/35/William_Petty%2C_2nd_Earl_of_Shelburne_by_Jean_Laurent_Mosnier.jpg/240px-William_Petty%2C_2nd_Earl_of_Shelburne_by_Jean_Laurent_Mosnier.jpg,"https://en.wikipedia.org/wiki/William_Petty,_2nd_Earl_of_Shelburne"
50,Tony Blair,//upload.wikimedia.org/wikipedia/commons/thumb/f/fc/Padlock-silver.svg/20px-Padlock-silver.svg.png,https://en.wikipedia.org/wiki/Tony_Blair
51,Neville Chamberlain,//upload.wikimedia.org/wikipedia/en/thumb/e/e7/Cscr-featured.svg/20px-Cscr-featured.svg.png,https://en.wikipedia.org/wiki/Neville_Chamberlain
52,The Earl of Bute,//upload.wikimedia.org/wikipedia/commons/thumb/8/83/3rd_Earl_of_Bute_by_Sir_Joshua_Reynolds.jpg/240px-3rd_Earl_of_Bute_by_Sir_Joshua_Reynolds.jpg,"https://en.wikipedia.org/wiki/John_Stuart,_3rd_Earl_of_Bute"
53,Stanley Baldwin,//upload.wikimedia.org/wikipedia/commons/thumb/9/95/Stanley_Baldwin_ggbain.35233.jpg/220px-Stanley_Baldwin_ggbain.35233.jpg,https://en.wikipedia.org/wiki/Stanley_Baldwin
